cityCode,cityName,townCode,townName,dateCode,dateName,url
2600,부산광역시,2608,북구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2600&townCode=2608&dateCode=1
2600,부산광역시,2609,해운대구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2600&townCode=2609&dateCode=1
2600,부산광역시,2610,기장군,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2600&townCode=2610&dateCode=1
2600,부산광역시,2611,사하구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2600&townCode=2611&dateCode=1
2600,부산광역시,2612,금정구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2600&townCode=2612&dateCode=1
2600,부산광역시,2613,강서구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2600&townCode=2613&dateCode=1
2600,부산광역시,2614,연제구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2600&townCode=2614&dateCode=1
2600,부산광역시,2615,수영구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2600&townCode=2615&dateCode=1
2600,부산광역시,2616,사상구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2600&townCode=2616&dateCode=1
2700,대구광역시,2701,중구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2700&townCode=2701&dateCode=1
2700,대구광역시,2702,동구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2700&townCode=2702&dateCode=1
2700,대구광역시,2703,서구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2700&townCode=2703&dateCode=1
2700,대구광역시,2704,남구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2700&townCode=2704&dateCode=1
2700,대구광역시,2705,북구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2700&townCode=2705&dateCode=1
2700,대구광역시,2706,수성구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2700&townCode=2706&dateCode=1
2700,대구광역시,2707,달서구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2700&townCode=2707&dateCode=1
2700,대구광역시,2708,달성군,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2700&townCode=2708&dateCode=1
2700,대구광역시,2709,군위군,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2700&townCode=2709&dateCode=1
2800,인천광역시,2811,영종구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2800&townCode=2811&dateCode=1
2800,인천광역시,2812,제물포구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2800&townCode=2812&dateCode=1
2800,인천광역시,2803,미추홀구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2800&townCode=2803&dateCode=1
2800,인천광역시,2804,연수구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2800&townCode=2804&dateCode=1
2800,인천광역시,2805,남동구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2800&townCode=2805&dateCode=1
2800,인천광역시,2806,부평구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2800&townCode=2806&dateCode=1
2800,인천광역시,2807,계양구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2800&townCode=2807&dateCode=1
2800,인천광역시,2813,서구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2800&townCode=2813&dateCode=1
2800,인천광역시,2814,검단구,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2800&townCode=2814&dateCode=1
2800,인천광역시,2809,강화군,1,1일차,https://info.nec.go.kr/main/showDocument.xhtml?electionId=0020250603&topMenuId=VC&secondMenuId=VCAP02&cityCode=2800&townCode=2809&dateCode=1
